recordID,hu12_zoneid,lagoslakeid,mean_secchi,median_secchi,sd_secchi,covar_secchi,nobs_secchi,nhdid,nhd_lat,nhd_long,lake_area_ha,lake_perim_meters,lagosname1,meandepth,maxdepth,in_nwi,iws_zone_id,hu4_zoneid,hu8_zoneid,edu_zoneid,state_name,iws_area_ha,lakeconnectivity,glacial,pcturbancombined_hu12,pctagcombined_hu12,pctpasturehay_hu12,pctrowcrop_hu12
11,HU12_10071,108402,275,275,35.355.339,128.564.869,2,37648745,44.707.209,-93.170.767,1.420.878.591,256.826.271,UNNAMED (EAST),NA,NA,yes,IWS_29082,HU4_55,HU8_330,EDU_13,Minnesota,3.959.669.594,DR_Stream,Not_Glaciated,603.141,29.497,6.5237,229.733
12,HU12_10071,1143,8.375,655,480.527.777,57.376.451,10,{E7E928FD-5D66-4B1E-8276-87C708CA2842},44.747.259,-93.25,4.195.367.036,549.246.559,ALIMAGNET,NA,2.7,yes,IWS_28832,HU4_55,HU8_330,EDU_13,Minnesota,450.230.258,Isolated,Glaciated,603.141,29.497,6.5237,229.733
13,HU12_10076,94134,155.714.286,0.15,87.912.294,564.574.365,7,37648369,44.740.526,-928.407,3.610.443.593,2.673.884.416,ISABELLE,NA,1.8,yes,IWS_28880,HU4_55,HU8_330,EDU_13,Minnesota,1.069.279.204,Headwater,Not_Glaciated,224.351,666.727,5.0902,615.825
14,HU12_10084,2747,1.011.875,1.2025,477.163.775,471.563.953,8,120018155,44.369.917,-9.344.179,377.576.084,1.262.241.676,SHIELDS,NA,9.1,yes,IWS_28637,HU4_55,HU8_358,EDU_13,Minnesota,2.494.928.073,DR_Stream,Glaciated,4.1999,552.358,226.596,325.762
15,HU12_10084,48431,685,685,106.066.017,154.840.901,2,120018157,443.324,-93.446.144,7.049.459.691,3.511.608.273,HUNT,NA,8.2,yes,IWS_28823,HU4_55,HU8_358,EDU_13,Minnesota,1.368.862.222,Headwater,Glaciated,4.1999,552.358,226.596,325.762
16,HU12_10086,491,4.335,0.42,157.974.154,36.441.558,10,34242916,44.274.475,-93.826.179,154.900.956,1.221.601.691,JEFFERSON (W JEFF.),NA,11.6,yes,IWS_28611,HU4_55,HU8_358,EDU_13,Minnesota,2.644.390.333,Headwater,Glaciated,4.0426,686.463,163.496,522.967
17,HU12_10086,36870,357,0.3,232.297.702,650.693.842,10,34242988,44.260.829,-93.772.959,1.417.836.461,9.825.835.724,JEFFERSON (SWEDE'S BAY),NA,11.6,yes,IWS_28767,HU4_55,HU8_358,EDU_13,Minnesota,1.899.413.816,DR_Stream,Glaciated,4.0426,686.463,163.496,522.967
18,HU12_10086,3291,01.06,01.07,327.863.454,309.305.145,10,34243896,44.275.485,-9.377.627,5.161.068.488,1.884.901.776,JEFFERSON (E JEFF.),NA,11.6,yes,IWS_28612,HU4_55,HU8_358,EDU_13,Minnesota,8.768.394.814,DR_LakeStream,Glaciated,4.0426,686.463,163.496,522.967
19,HU12_10086,2429,1.275.714.286,1.335,337.199.602,264.322.196,7,34242920,44.274.476,-93.727.334,3.159.953.672,8.936.706.697,GERMAN,NA,15.2,yes,IWS_28886,HU4_55,HU8_358,EDU_13,Minnesota,2.253.454.804,DR_LakeStream,Glaciated,4.0426,686.463,163.496,522.967
20,HU12_10087,2872,0.91,0.91,NA,NA,1,34242856,44.285.597,-93.579.608,4.986.172.683,3.076.252.461,SUNFISH,NA,9.1,yes,IWS_28826,HU4_55,HU8_358,EDU_13,Minnesota,1.104.116.628,Headwater,Glaciated,4.0119,780.548,144.047,636.501
21,HU12_10087,507,2.375,2.2075,6.761.065,284.676.421,6,34242518,44.368.084,-93.641.209,1.049.305.982,3.920.818.735,VOLNEY,7,20.4,yes,IWS_28676,HU4_55,HU8_358,EDU_13,Minnesota,7.094.730.016,DR_Stream,Glaciated,4.0119,780.548,144.047,636.501
22,HU12_10087,1431,1.105,1.22,266.786.431,241.435.685,3,34242640,44.341.353,-93.661.516,204.364.623,6.713.183.084,GORMAN,NA,4.3,yes,IWS_28704,HU4_55,HU8_358,EDU_13,Minnesota,5.712.719.298,DR_LakeStream,Glaciated,4.0119,780.548,144.047,636.501
23,HU12_10089,1668,852.142.857,835,155.398.872,182.362.465,7,120018165,44.230.802,-93.529.079,5.016.250.993,2.202.526.433,UPPER SAKATAH,NA,3,yes,IWS_29036,HU4_55,HU8_358,EDU_13,Minnesota,1.861.641.034,DR_LakeStream,Glaciated,5.9785,591.227,224.317,36.691
24,HU12_10089,2109,1.721.111.111,1.68,452.560.616,262.946.775,9,34243224,44.210.918,-93.702.596,3.491.163.349,1.370.267.281,FRANCES,NA,15.2,yes,IWS_29035,HU4_55,HU8_358,EDU_13,Minnesota,5.973.289.168,DR_Stream,Glaciated,5.9785,591.227,224.317,36.691
25,HU12_10089,1087,1.075,0.7,92.063.384,856.403.572,4,120018163,44.263.399,-93.527.434,1.681.782.469,8.021.799.582,HORSESHOE,NA,7.9,yes,IWS_28649,HU4_55,HU8_358,EDU_13,Minnesota,8.154.620.638,Headwater,Glaciated,5.9785,591.227,224.317,36.691
26,HU12_10089,96156,3.942,4.0375,422.894.786,107.279.246,10,34243092,44.229.365,-9.366.542,2.980.261.832,2.854.671.087,FISH,NA,16.8,yes,IWS_28742,HU4_55,HU8_358,EDU_13,Minnesota,304.975.583,DR_Stream,Glaciated,5.9785,591.227,224.317,36.691
27,HU12_10089,8794,655,0.61,67.082.039,102.415.327,5,120018166,44.213.176,-93.677.507,611.558.021,3.317.163.078,RAYS (CHARLES),NA,9.7536,yes,IWS_29102,HU4_55,HU8_358,EDU_13,Minnesota,9.904.166.353,Isolated,Glaciated,5.9785,591.227,224.317,36.691
28,HU12_10089,2960,1.4205,1.21,598.026.616,420.997.266,10,120018164,442.305,-93.608.538,5.409.176.218,1.757.255.788,TETONKA,NA,10.7,yes,IWS_28993,HU4_55,HU8_358,EDU_13,Minnesota,8.785.752.291,DR_LakeStream,Glaciated,5.9785,591.227,224.317,36.691
29,HU12_10090,3474,7.705,0.76,113.393.366,147.168.548,10,120018161,44.295.103,-93.429.559,3.558.810.109,1.713.170.473,CEDAR,NA,12.8,yes,IWS_28664,HU4_55,HU8_358,EDU_13,Minnesota,1.289.610.168,DR_Stream,Glaciated,5.283,70.64,237.098,469.302
30,HU12_10091,2091,2.090.625,2.0975,398.079.654,190.411.793,8,34242550,44.354.311,-93.366.374,5.084.287.832,4.848.251.148,KELLY,NA,15.2,yes,IWS_29004,HU4_55,HU8_358,EDU_13,Minnesota,159.623.702,Isolated,Glaciated,8.2709,539.039,217.423,321.616
31,HU12_10091,2269,977.222.222,1.1,36.075.538,369.164.119,9,34242690,44.328.118,-93.344.913,2.491.160.282,7.483.945.676,ROBERDS,NA,13.1,yes,IWS_29047,HU4_55,HU8_358,EDU_13,Minnesota,1.764.189.939,DR_LakeStream,Glaciated,8.2709,539.039,217.423,321.616
32,HU12_10091,1472,824.166.667,7.975,176.051.602,213.611.651,6,34242642,4.433.937,-93.392.075,3.534.830.623,8.029.886.797,FRENCH,NA,17.1,yes,IWS_28631,HU4_55,HU8_358,EDU_13,Minnesota,1.530.402.393,DR_Stream,Glaciated,8.2709,539.039,217.423,321.616
33,HU12_10092,3924,7.825,0.76,191.967.156,245.325.439,10,120018159,44.274.323,-93.35,8.843.373.188,3.159.479.887,CANNON,NA,4.6,yes,IWS_29044,HU4_55,HU8_358,EDU_13,Minnesota,1.055.734.593,DR_LakeStream,Glaciated,12.7273,726.884,7.7403,649.481
34,HU12_10093,64,685.714.286,0.61,115.881.713,168.994.165,7,34243470,4.408.664,-93.484.629,2.555.632.799,6.969.686.024,CLEAR,NA,NA,yes,IWS_29081,HU4_55,HU8_358,EDU_13,Minnesota,6.680.147.342,DR_Stream,Glaciated,164.458,572.702,2.0692,55.201
35,HU12_10093,42264,548.333.333,535,20.478.444,373.467.063,6,34243488,44.081.183,-93.518.384,4.959.084.475,344.245.559,LOON,NA,2.4,yes,IWS_29025,HU4_55,HU8_358,EDU_13,Minnesota,6.014.066.604,Isolated,Glaciated,164.458,572.702,2.0692,55.201
36,HU12_10099,1334,1.153.333.333,1.22,285.890.422,247.881.869,3,34243820,43.891.525,-93.349.448,3.854.361.627,2.877.776.213,BEAVER,NA,8.2,yes,IWS_28840,HU4_55,HU8_358,EDU_13,Minnesota,717.997.008,Isolated,Glaciated,8.3418,825.015,1.6237,808.778
37,HU12_10102,131519,2.135,2.135,219.203.102,102.671.242,2,34243532,4.406.799,-93.244.291,1.319.643.645,1.859.287.847,KOHLMEIER,NA,4.2672,yes,IWS_28949,HU4_55,HU8_358,EDU_13,Minnesota,1.042.955.972,DR_Stream,Glaciated,244.647,620.059,1.5232,604.827
38,HU12_10114,179,511.666.667,0.46,12.414.709,24.263.275,9,120018154,44.414.672,-93.343.988,335.857.433,1.486.668.974,CIRCLE,NA,NA,yes,IWS_28998,HU4_55,HU8_358,EDU_13,Minnesota,4.773.905.352,DR_LakeStream,Glaciated,5.3969,668.229,276.149,39.208
39,HU12_10114,4020,745,0.78,12.755.391,171.213.302,6,34242458,44.372.939,-93.395.445,270.812.551,8.055.164.665,MAZASKA,NA,15.2,yes,IWS_28614,HU4_55,HU8_358,EDU_13,Minnesota,9.478.487.505,DR_Stream,Glaciated,5.3969,668.229,276.149,39.208
40,HU12_10114,468,1.065,01.07,354.471.437,332.837.031,10,34242386,44.392.626,-93.323.845,124.066.019,4.717.876.236,FOX,NA,14.3,yes,IWS_28850,HU4_55,HU8_358,EDU_13,Minnesota,2.090.635.158,DR_LakeStream,Glaciated,5.3969,668.229,276.149,39.208
41,HU12_10115,54729,0.44,0.46,34.641.016,78.729.582,3,120018152,44.458.485,-93.312.224,1.615.626.385,7.821.235.639,UNION,NA,NA,yes,IWS_28811,HU4_55,HU8_358,EDU_13,Minnesota,7.601.089.881,DR_Stream,Glaciated,7.4922,690.464,331.381,359.083
42,HU12_10117,1699,932,0.95,23.350.232,25.053.897,10,120018146,44.515.675,-92.974.428,5.050.987.233,1.807.996.496,BYLLESBY,NA,15.2,yes,IWS_28884,HU4_55,HU8_358,EDU_13,Minnesota,6.501.773.133,DR_LakeStream,Not_Glaciated,9.2615,707.026,2.962,677.406
43,HU12_1012,6394,95.885,95.885,152.664.354,159.216.096,2,98656168,38.199.521,-8.961.946,1.346.556.663,4.176.842.583,COULTERVILLE,NA,5.7912,yes,IWS_5881,HU4_51,HU8_450,EDU_24,Illinois,1.713.218.903,DR_Stream,Not_Glaciated,9.1965,664.034,189.038,474.996
44,HU12_10167,82605,0.3,0.3,NA,NA,1,91574855,44.098.702,-94.177.632,3.161.160.988,830.882.876,LOON,NA,2.1336,yes,IWS_26141,HU4_53,HU8_347,EDU_41,Minnesota,8.591.721.146,Headwater,Glaciated,8.0159,763.321,0,763.321
45,HU12_10167,3345,288.333.333,0.24,226.310.995,784.893.626,6,91574851,44.109.054,-94.203.385,1.487.544.451,7.819.796.162,CRYSTAL,NA,3.4,yes,IWS_26967,HU4_53,HU8_347,EDU_41,Minnesota,4.004.300.018,DR_LakeStream,Glaciated,8.0159,763.321,0,763.321
46,HU12_10175,524,782,8.175,122.796.127,157.028.296,10,120020181,44.309.647,-93.919.095,9.932.747.049,7.512.304.421,EMILY,NA,11.3,yes,IWS_26711,HU4_53,HU8_347,EDU_41,Minnesota,226.576.669,DR_Stream,Glaciated,5.2662,702.664,10.8857,593.807
47,HU12_10175,4111,9.975,0.91,291.540.449,292.271.127,10,91574255,44.253.836,-93.871.947,5.960.544.156,1.841.839.787,WASHINGTON,NA,15.5,yes,IWS_25194,HU4_53,HU8_347,EDU_41,Minnesota,2.128.741.862,DR_LakeStream,Glaciated,5.2662,702.664,10.8857,593.807
48,HU12_10175,1100,614,0.61,145.311.925,236.664.373,10,91574407,44.217.813,-93.815.802,1.127.116.085,4.190.976.063,DUCK,NA,7.6,yes,IWS_24926,HU4_53,HU8_347,EDU_41,Minnesota,2.958.765.265,Isolated,Glaciated,5.2662,702.664,10.8857,593.807
49,HU12_10177,139756,584.166.667,0.5,344.998.792,590.582.811,6,120020180,44.317.509,-93.802.185,2.323.484.475,7.012.571.817,SCOTCH,NA,3.3528,yes,IWS_25524,HU4_53,HU8_347,EDU_41,Minnesota,8.723.576.538,DR_LakeStream,Glaciated,4.6022,814.459,10.4578,709.881
50,HU12_10178,93072,3.0235,2.8575,721.495.553,238.629.255,10,91573815,44.338.177,-93.952.447,3.766.832.696,7.254.250.639,UNNAMED (HALLET),NA,NA,yes,NA,HU4_53,HU8_347,EDU_41,Minnesota,NA,Isolated,NA,160.793,371.407,6.2648,308.759
51,HU12_10187,729,1.002.857.143,0.91,461.075.348,459.761.743,7,32672239,43.866.424,-9.402.363,5.217.799.997,2.170.877.503,LURA,NA,2.7,yes,IWS_25171,HU4_53,HU8_366,EDU_41,Minnesota,787.608.116,Isolated,Glaciated,5.5043,792.156,2.498,789.658
52,HU12_10190,3064,1.22,1.22,NA,NA,1,91598525,44.589.373,-9.352.238,3.188.123.888,1.145.038.476,CEDAR,NA,4.6,yes,IWS_26007,HU4_53,HU8_348,EDU_41,Minnesota,6.840.043.063,DR_Stream,Glaciated,7.3372,715.878,230.025,485.853
53,HU12_10195,117667,2.776.666.667,2.65,866.967.896,312.233.336,3,91597803,44.662.814,-93.631.246,6.970.680.728,1.198.085.398,MILL POND,NA,NA,yes,IWS_24867,HU4_53,HU8_348,EDU_41,Minnesota,228.917.051,Headwater,Glaciated,9.1721,64.684,225.752,421.088
54,HU12_10197,66035,0.3,0.3,NA,NA,1,91597133,44.706.308,-93.638.258,2.126.877.381,3.269.232.183,LONG,NA,NA,yes,IWS_25916,HU4_53,HU8_348,EDU_41,Minnesota,3.364.539.345,DR_Stream,Glaciated,9.7516,450.195,152.031,298.164
55,HU12_10198,2329,875,0.78,240.520.269,274.880.308,10,120020242,44.714.411,-93.447.482,1.716.522.995,1.169.579.962,UPPER PRIOR,NA,13.1,yes,IWS_26714,HU4_53,HU8_348,EDU_41,Minnesota,788.070.085,DR_LakeStream,Glaciated,278.409,431.937,193.311,238.626
56,HU12_10198,3092,1.5075,1.37,469.658.564,311.547.969,10,120020240,44.732.821,-93.411.219,3.807.742.872,2.437.066.604,LOWER PRIOR,NA,17.1,yes,IWS_26240,HU4_53,HU8_348,EDU_41,Minnesota,695.019.043,DR_LakeStream,Glaciated,278.409,431.937,193.311,238.626
57,HU12_10198,533,0.76,0.76,NA,NA,1,91597267,44.700.302,-93.473.593,2.376.788.841,8.067.876.983,SPRING,NA,10.4,yes,IWS_26002,HU4_53,HU8_348,EDU_41,Minnesota,3.927.883.128,DR_LakeStream,Glaciated,278.409,431.937,193.311,238.626
58,HU12_10199,73106,4.214,4.495,848.753.334,201.412.751,10,91597127,44.704.403,-9.332.106,5.164.580.838,1.209.956.256,KRENZ,NA,NA,yes,IWS_26476,HU4_53,HU8_348,EDU_41,Minnesota,5.404.362.205,Isolated,Glaciated,226.981,403.122,255.701,147.421
59,HU12_10199,134664,0.61,0.61,NA,NA,1,120020246,44.693.066,-9.339.116,5.997.771.385,7.310.282.579,CLEARY,NA,NA,yes,IWS_26477,HU4_53,HU8_348,EDU_41,Minnesota,7.470.431.321,DR_Stream,Glaciated,226.981,403.122,255.701,147.421
60,HU12_10199,102216,2.13,2.13,NA,NA,1,91597081,44.707.299,-93.299.203,1.352.344.159,2.723.522.756,KINGSLEY,NA,NA,yes,IWS_26982,HU4_53,HU8_348,EDU_41,Minnesota,6.974.542.789,DR_Stream,Glaciated,226.981,403.122,255.701,147.421
61,HU12_10199,130461,1.14,1.14,325.269.119,285.323.789,2,91596823,44.727.827,-93.340.635,2.930.338.831,4.253.676.158,HANRAHAN,NA,2.4,yes,IWS_25540,HU4_53,HU8_348,EDU_41,Minnesota,3.898.134.466,Isolated,Glaciated,226.981,403.122,255.701,147.421
62,HU12_10199,128383,2.175,2.175,176.776.695,81.276.642,2,91596487,44.756.602,-93.368.771,868.040.025,1.594.241.073,MCCOLL POND,NA,NA,yes,IWS_26188,HU4_53,HU8_348,EDU_41,Minnesota,1.991.525.202,Isolated,Glaciated,226.981,403.122,255.701,147.421
63,HU12_10201,117719,5.475,5.675,91.840.744,167.745.651,10,120019439,44.029.215,-92.457.438,2.339.858.342,7.850.473.669,SILVER,NA,3.4,yes,IWS_29039,HU4_55,HU8_373,EDU_13,Minnesota,2.821.628.298,DR_LakeStream,Not_Glaciated,382.161,263.128,6.3087,200.041
64,HU12_10201,109475,5.812.142.857,6.25,916.059.756,157.611.363,7,120019440,43.999.634,-9.250.419,159.854.791,2.315.733.352,BAMBER,NA,NA,yes,IWS_28827,HU4_55,HU8_373,EDU_13,Minnesota,1.965.821.448,DR_Stream,Not_Glaciated,382.161,263.128,6.3087,200.041
65,HU12_10202,76318,783,0.8,111.332.834,142.187.528,5,32732841,44.028.881,-92.506.481,3.739.076.384,9.497.859.052,MANOR WOODS POND,NA,NA,yes,NA,HU4_55,HU8_373,EDU_13,Minnesota,NA,Isolated,NA,278.017,552.981,9.1928,461.053
66,HU12_10215,15905,442,0.46,114.978.259,260.131.807,5,32732345,44.164.441,-9.254.628,7.059.486.616,9.787.494.846,SHADY,NA,4,yes,IWS_28743,HU4_55,HU8_373,EDU_13,Minnesota,108458.73,DR_LakeStream,Not_Glaciated,11.0963,555.572,162.464,393.108
67,HU12_10234,783,1.581,1.615,588.221.425,372.056.562,10,32732186,44.184.965,-92.477.008,2.831.236.725,2.993.884.455,ZUMBRO,NA,14.6,yes,IWS_29038,HU4_55,HU8_373,EDU_13,Minnesota,4.014.717.202,DR_LakeStream,Not_Glaciated,6.3293,493.745,12.2447,371.298
68,HU12_10267,2922,1.2,1.2,NA,NA,1,76246730,44.676.417,-92.214.874,4.737.860.993,7.307.505.555,NUGGET LAKE,NA,15.24,yes,IWS_29810,HU4_27,HU8_369,EDU_10,Wisconsin,4.303.019.706,DR_Stream,Not_Glaciated,5.3891,625.386,131.896,49.349
69,HU12_10274,5464,9.924.288,9.906,142.615.786,143.703.797,5,69578090,44.694.693,-91.012.207,3.103.613.901,7.940.249.153,COON FORK FLOWAGE,2.4384,6.096,yes,IWS_29757,HU4_27,HU8_380,EDU_10,Wisconsin,1.175.107.281,DR_Stream,Not_Glaciated,4.8137,194.807,2.6306,168.501
70,HU12_1028,6751,1.397,1.397,NA,NA,1,40199640,37.482.999,-88.325.637,5.134.259.972,1.425.171.366,TECUMSEH,NA,NA,yes,IWS_2746,HU4_49,HU8_323,EDU_31,Illinois,2.904.765.321,DR_Stream,Not_Glaciated,4.7443,10.6498,8.5594,2.0904
71,HU12_10291,4929,9.144,9.144,NA,NA,1,42794122,44.554.674,-9.138.538,2.219.528.959,3.931.778.532,STRUM LAKE (CRYSTAL),9.144,2.4384,yes,IWS_28606,HU4_55,HU8_375,EDU_13,Wisconsin,309.562.475,DR_Stream,Not_Glaciated,5.6398,554.559,12.5544,429.015
72,HU12_10338,5053,57.912,57.912,NA,NA,1,41240185,43.908.039,-91.056.938,2.455.972.541,1.225.836.044,NESHONOC LAKE,1.2192,3.3528,no,IWS_28891,HU4_55,HU8_376,EDU_13,Wisconsin,600.052.334,DR_LakeStream,Not_Glaciated,8.1844,601.018,148.166,452.852
73,HU12_10344,5116,73.152,73.152,68.968.367,942.809.042,2,74718907,44.440.318,-90.827.234,1.574.927.175,4.262.139.591,TROW LAKE (L MERRILLAN POND),1.2192,2.7432,yes,IWS_29056,HU4_55,HU8_378,EDU_10,Wisconsin,1.712.534.733,DR_LakeStream,Not_Glaciated,7.3664,158.091,2.1063,137.028
74,HU12_10351,4813,5.842,59.436,3.172.459,5.430.433,3,74722849,44.088.135,-91.351.223,471.920.577,4.253.222.736,MARINUKA LAKE,9.144,2.7432,yes,IWS_28686,HU4_55,HU8_378,EDU_10,Wisconsin,3.532.954.056,DR_Stream,Not_Glaciated,5.2749,532.673,9.4579,438.094
75,HU12_1036,6598,7.366,7.366,NA,NA,1,40199801,3.748.745,-88.678.479,2.727.815.925,7.384.885.641,BAY CREEK LAKE NUMBER 5,NA,NA,yes,IWS_2634,HU4_49,HU8_323,EDU_31,Illinois,6.239.670.961,DR_Stream,Not_Glaciated,3.9493,166.772,11.2046,5.4726
76,HU12_10365,710,1.519.428,1.3716,896.016.097,58.970.619,5,122934081,43.615.259,-9.100.981,1.593.781.871,2.541.896.287,RUNGE HOLLOW LAKE,NA,4.572,yes,IWS_30501,HU4_59,HU8_371,EDU_13,Wisconsin,7.371.405.824,DR_Stream,Not_Glaciated,7.1454,718.035,283.018,435.017
77,HU12_10367,5006,173.736,1.6764,558.395.763,321.404.754,5,122935415,43.539.531,-90.957.475,1.420.086.382,309.863.476,SIDIE HOLLOW LAKE,3.3528,6.7056,yes,IWS_30468,HU4_59,HU8_371,EDU_13,Wisconsin,87.256.262,DR_Stream,Not_Glaciated,6.9607,598.412,243.268,355.144
78,HU12_1037,7443,263.525,263.525,132.009.765,500.938.298,2,40200940,37.412.393,-88.659.142,3.275.338.355,441.067.195,GLENDALE,NA,5.4864,yes,IWS_2443,HU4_49,HU8_323,EDU_31,Illinois,4.856.468.747,DR_Stream,Not_Glaciated,6.1129,287.674,23.193,5.5744
79,HU12_10378,3942,2.543.125,2.515,558.108.652,219.457.814,8,120018729,45.620.624,-95.454.803,3.235.575.582,3.249.304.377,MINNEWASKA,NA,9.8,yes,IWS_26736,HU4_53,HU8_346,EDU_77,Minnesota,4.502.171.234,DR_LakeStream,Glaciated,8.5933,477.308,8.3422,393.886
80,HU12_1038,7013,2.2987,2.2987,628.617.928,273.466.711,2,40201094,37.411.646,-88.767.964,2.877.803.268,4.392.427.454,VIENNA CORR. CNTR,NA,7.3152,yes,IWS_2768,HU4_49,HU8_323,EDU_31,Illinois,1.369.237.081,DR_Stream,Not_Glaciated,6.1756,355.672,240.339,11.5333
81,HU12_10380,62,455,455,219.203.102,48.176.506,2,120018742,45.515.894,-95.643.575,9.149.659.584,1.887.204.976,EMILY,NA,NA,yes,IWS_25830,HU4_53,HU8_346,EDU_77,Minnesota,1.316.017.526,DR_LakeStream,Glaciated,3.1562,700.309,3.9802,660.507
82,HU12_10381,58719,1.6,1.6,1.187.939.392,74.246.212,2,120018756,45.472.673,-95.223.053,4.593.469.455,1.862.006.844,JOHANNA,NA,3.048,yes,IWS_26439,HU4_53,HU8_346,EDU_77,Minnesota,5.679.853.919,Isolated,Glaciated,3.5313,573.912,11.7807,456.105
83,HU12_10381,138730,4.125,0.3,225,545.454.545,4,86369131,45.419.868,-95.325.645,2.267.989.904,7.717.920.394,SIMON,NA,NA,yes,IWS_25336,HU4_53,HU8_346,EDU_77,Minnesota,6.732.549.537,DR_Stream,Glaciated,3.5313,573.912,11.7807,456.105
84,HU12_10382,35774,825,825,318.198.052,385.694.608,2,86370333,45.321.231,-95.230.078,4.380.590.776,4.000.111.043,EAST SUNBURG,NA,NA,yes,IWS_25841,HU4_53,HU8_346,EDU_77,Minnesota,9.057.808.422,DR_Stream,Glaciated,3.7749,579.397,132.957,44.644
85,HU12_10382,124041,0.3,0.3,NA,NA,1,86369699,45.374.821,-95.237.811,4.861.321.701,4.129.953.067,HEFTA,NA,3.048,yes,IWS_26745,HU4_53,HU8_346,EDU_77,Minnesota,1.378.931.058,Isolated,Glaciated,3.7749,579.397,132.957,44.644
86,HU12_10382,125110,575,575,35.355.339,61.487.546,2,120018771,45.328.891,-95.246.722,135.222.266,120.725.064,EAST SUNBURG,NA,NA,yes,IWS_26888,HU4_53,HU8_346,EDU_77,Minnesota,4.290.869.355,Isolated,Glaciated,3.7749,579.397,132.957,44.644
87,HU12_10382,44280,0.71,0.76,229.128.785,322.716.598,3,120018769,45.324.101,-9.527.936,8.220.049.057,6.383.024.614,MONSON,NA,6.4008,yes,IWS_25553,HU4_53,HU8_346,EDU_77,Minnesota,2.200.118.836,Isolated,Glaciated,3.7749,579.397,132.957,44.644
88,HU12_10383,10759,1.842.222.222,1.905,630.456.735,342.226.213,9,86369183,45.404.466,-9.538.988,8.572.400.209,523.016.686,CAMP,NA,7.9248,yes,IWS_26167,HU4_53,HU8_346,EDU_77,Minnesota,5.514.067.556,Isolated,Glaciated,4.3732,775.181,164.493,610.688
